SKU,Barcode,Marca,Nombre,Precio_original,Precio_+20%,Precio_tachado,Stock,Descripcion,Imagen,URL_producto,Proveedor
D0B45100R,,Shad,Baulete Sh45 New Ng Y Respaldo,152.99,183.59,170.0,2,,https://estaticos.elmotorista.es/prod_images/shad/504731759art/shad/baulete-sh45-new-ng-y-respaldo-412741_200.webp,baulete-sh45-new-ng-y-respaldo-504731759,elmotorista.es
K0GL14ST,8430358562165,Shad,Fijacion Top Master Kymco Agility City 16 14/18,43.08,51.7,47.86,+10,,https://estaticos.elmotorista.es/prod_images/shad/503723215art/shad/fijacion-top-master-kymco-agility-city-16-14-18-288071_200.webp,fijacion-top-master-kymco-agility-city-16-14-18-k0gl14st,elmotorista.es
BC.TRS.00.101.30000,4052572182352,Sw-motech,Bolsa Deposito Pro Sport 12-17l,209.98,251.98,210.0,7,,https://estaticos.elmotorista.es/prod_images/sw-motech/505599106art/sw-motech/bolsa-deposito-pro-sport-12-17l-446910_200.webp,bolsa-deposito-pro-sport-12-17l-505599106,elmotorista.es
D0B40100,8430358507289,Shad,Baulete Sh40 Ng/Ng,118.66,142.39,131.85,+10,,https://estaticos.elmotorista.es/prod_images/shad/503260985art/shad/baulete-sh40-ng-ng-498860_200.webp,baulete-sh40-ng-ng-5032609851,elmotorista.es
BF19,8019606183347,Givi,Tank-Lock Bmw G 650 Gs 11-14  - Bf19,36.36,43.63,44.0,3,,https://estaticos.elmotorista.es/prod_images/givi/503734908art/givi/tank-lock-bmw-g-650-gs-11-17-499025_200.webp,tank-lock-bmw-g-650-gs-11-17-bf19,elmotorista.es
1B000789,,Piaggio,Parrilla Trasera Vespa Cromado,175.11,210.13,199.0,2,,https://estaticos.elmotorista.es/prod_images/piaggio/503687196art/piaggio/parrilla-trasera-vespa-cromado-306446_200.webp,parrilla-trasera-vespa-cromado-1b000789,elmotorista.es
BC.LOC.00.002.10100/B,4052572045107,Sw-motech,Cable Seguridad Equipaje Moto Ng,16.0,19.2,,7,,https://estaticos.elmotorista.es/prod_images/sw-motech/505600186art/sw-motech/cable-seguridad-equipaje-moto-ng-447139_200.webp,cable-seguridad-equipaje-moto-ng-bc-loc-00-002-10100-b,elmotorista.es
1B000681,,Piaggio,Soporte Baul,175.11,210.13,199.0,+10,,https://estaticos.elmotorista.es/prod_images/piaggio/504344236art/piaggio/soporte-baul-501153_200.webp,complete-carrier-black-1b000681,elmotorista.es
D0B23100,8430358620506,Shad,Maletas Laterales Sh23 Jgo Ng,166.5,199.8,185.0,+10,,https://estaticos.elmotorista.es/prod_images/shad/504179691art/shad/maletas-laterales-sh23-jgo-ng-258136_200.webp,maletas-laterales-sh23-jgo-ng-504179691,elmotorista.es
D0B47106,8430358673717,Shad,Baul Sh47 Ng Catadioptrico Trans,170.92,205.1,189.9,+10,,https://estaticos.elmotorista.es/prod_images/shad/504664298art/shad/baul-sh47-ng-catadioptrico-trans-370145_200.webp,baul-sh47-ng-catadioptrico-trans-5046642981,elmotorista.es
D0TR47100RB,8430358675438,Shad,Maleta Lateral Derecha Tr47r Terra Black Edition,377.1,452.52,419.0,3,,https://estaticos.elmotorista.es/prod_images/shad/504719150art/shad/maleta-lateral-derecha-tr47r-terra-black-edition-371309_200.webp,maleta-lateral-derecha-tr47r-terra-black-edition-d0tr47100rb1,elmotorista.es
SR80,,Givi,Soporte Maleta Kymco Dink 150   97   - Givi,45.87,55.04,55.5,9,,https://estaticos.elmotorista.es/prod_images/givi/501612489art/givi/fijacion-kymco-dink-150-97-498719_200.webp,fijacion-kymco-dink-150-97-sr80,elmotorista.es
D0B40199,8430358507296,Shad,Baulete Sh40 New Cargo Ng,134.1,160.92,149.0,6,,https://estaticos.elmotorista.es/prod_images/shad/503325119art/shad/baulete-sh40-new-cargo-ng-498861_200.webp,baulete-sh40-new-cargo-ng-503325119,elmotorista.es
BC.WPB.00.022.10000,4052572201572,Sw-motech,Bolsa Deposito Pro Yukon Wp C/Anillo Superior 6l Ng,159.99,191.99,160.0,7,,https://estaticos.elmotorista.es/prod_images/sw-motech/505081872art/sw-motech/bolsa-deposito-pro-yukon-wp-c-anillo-superior-6l-ng-446912_200.webp,bolsa-deposito-pro-yukon-wp-c-anillo-superior-6l-ng-bc-wpb-00-022-10000,elmotorista.es
1B00001600BR,,Piaggio,Baul Vespa Blanco Luna 544,169.84,203.81,193.0,5,,https://estaticos.elmotorista.es/prod_images/piaggio/503686590art/piaggio/baul-vespa-blanco-luna-544-440632_200.webp,baul-vespa-blanco-luna-544-503686590,elmotorista.es
OBKEV37BR,8019606349255,Givi,Maleta Lateral Trekker Outback Evo 37 Smart Ng Derecha,399.61,479.53,444.0,5,,https://estaticos.elmotorista.es/prod_images/givi/505602302art/givi/maleta-lateral-trekker-outback-evo-37-smart-ng-derecha-478426_200.webp,maleta-lateral-trekker-outback-evo-37-smart-ng-derecha-obkev37br,elmotorista.es
K0SP19KT,8430358526129,Shad,Fijacion Top Master Kymco Superdink 125 09/15 (Sin Refuerzo),64.61,77.53,71.79,6,,https://estaticos.elmotorista.es/prod_images/shad/503686938art/shad/fijacion-top-master-kymco-superdink-125-09-15-sin-refuerzo-499189_200.webp,fijacion-top-master-kymco-superdink-125-09-15-sin-refuerzo-k0sp19kt,elmotorista.es
D0TR47100L,8430358667075,Shad,Maleta Lateral Izquierda Tr47l Terra Aluminio,346.41,415.69,384.9,5,,https://estaticos.elmotorista.es/prod_images/shad/504633531art/shad/maleta-lateral-izquierda-tr47l-terra-aluminio-341221_200.webp,maleta-lateral-izquierda-tr47l-terra-aluminio-d0tr47100l,elmotorista.es
Z0G110ST,8430358674516,Shad,Fijacion Top Master Zontes G1 125,133.9,160.68,148.78,5,,https://estaticos.elmotorista.es/prod_images/shad/504700180art/shad/fijacion-top-master-zontes-g1-125-358254_200.webp,herrajes-z0g110st,elmotorista.es
201722R,8430358492288,Shad,Llaves Y Bombin Sh26/29/32/33/37/40/45/46,10.66,12.79,11.85,+10,,https://estaticos.elmotorista.es/prod_images/shad/503192441art/shad/llaves-y-bombin-sh26-29-32-33-37-40-45-46-523323_200.webp,llaves-y-bombin-sh26-29-32-33-37-40-45-46-201722r1,elmotorista.es
K0DT31ST,8430358683013,Shad,Fijacion Top Master Kymco Dtx 125/360 21/22,118.83,142.6,132.04,+10,,https://estaticos.elmotorista.es/prod_images/shad/505038776art/shad/fijacion-top-master-kymco-dtx-125-360-21-22-387539_200.webp,fijacion-top-master-kymco-dtx-125-360-21-22-k0dt31st,elmotorista.es
201896R,8430358508767,Shad,Bombin Cerradura Sh48/Sh49/Sh50/Sh58x/Sh59x,19.0,22.8,21.15,6,,https://estaticos.elmotorista.es/prod_images/shad/503517678art/shad/bombin-cerradura-sh48-sh49-sh50-sh58x-sh59x-501909_200.webp,bombin-cerradura-sh48-sh49-sh50-sh58x-sh59x-201896r11,elmotorista.es
D0B48300,8430358505230,Shad,Baul Sh-48 Gris Oscuro/Negro New,188.12,225.74,209.0,+10,,https://estaticos.elmotorista.es/prod_images/shad/504400614art/shad/baul-sh-48-gris-oscuro-negro-new-305851_200.webp,baul-sh-48-gris-oscuro-negro-new-d0b48300,elmotorista.es
D0B47206,8430358673724,Shad,Baul Sh47 Ng Catadioptrico Rj,170.92,205.1,189.9,+10,,https://estaticos.elmotorista.es/prod_images/shad/504664297art/shad/baul-sh47-ng-catadioptrico-rj-370142_200.webp,baul-sh47-ng-catadioptrico-rj-5046642971,elmotorista.es
D0B37100,8430358494954,Shad,Baulete Sh-37 New Ng,107.11,128.53,119.0,+10,,https://estaticos.elmotorista.es/prod_images/shad/503191566art/shad/baulete-sh-37-new-ng-498579_200.webp,baulete-sh-37-new-ng-50319156611,elmotorista.es
Y0CY17ST,8430358092464,Shad,Soporte Maleta Yamaha Cignus X 125  - Shad   Y0cy17st,60.55,72.66,67.28,4,,https://estaticos.elmotorista.es/prod_images/shad/502819063art/shad/fijacion-top-master-yamaha-cygnus-x-125-07-16-498804_200.webp,fijacion-top-master-yamaha-cygnus-x-125-07-16-y0cy17st,elmotorista.es
D0B46200,8430358644779,Shad,Baulete Sh46 New Ng,146.07,175.28,162.3,+10,,https://estaticos.elmotorista.es/prod_images/shad/504281654art/shad/baulete-sh46-new-ng-269571_200.webp,baulete-sh46-new-ng-504281654,elmotorista.es
BC.ZUB.00.064.30000,4052572025673,Sw-motech,Bolsillo Interior Impermeable,9.99,11.99,,9,,https://estaticos.elmotorista.es/prod_images/sw-motech/505599950art/sw-motech/bolsillo-interior-impermeable-447484_200.webp,bolsillo-interior-impermeable-bc-zub-00-064-30000,elmotorista.es
D0B44100,8430358675858,Shad,Baulete Sh44 Ng,122.92,147.5,136.58,+10,,https://estaticos.elmotorista.es/prod_images/shad/505055874art/shad/baulete-sh44-ng-394578_200.webp,d0b44100-505055874,elmotorista.es
V58NN,8019606326478,Givi,Baul Givi V58 Maxia 5 Ng 58l Base/Tapa Negra Cat/Rj,379.36,455.23,459.0,1,,https://estaticos.elmotorista.es/prod_images/givi/505376998art/givi/baul-givi-v58-maxia-5-ng-58l-base-tapa-negra-cat-rj-415087_200.webp,baul-givi-v58-maxia-5-ng-58l-base-tapa-negra-cat-rj-505376998,elmotorista.es
E46NT,8019606298522,Givi,Baul E46 Riviera 46l Ng/Catadioptrico Ahumado,179.34,215.21,217.0,1,,https://estaticos.elmotorista.es/prod_images/givi/505077928art/givi/baul-e46-riviera-46l-ng-catadioptrico-ahumado-412854_200.webp,baul-e46-riviera-46l-ng-catadioptrico-rojo-e46nt,elmotorista.es
D0TR55100B,8430358679900,Shad,Baul Tr 55 Terra Black Edition,449.1,538.92,499.0,6,,https://estaticos.elmotorista.es/prod_images/shad/505074465art/shad/baul-tr-55-terra-black-edition-393378_200.webp,baul-tr-55-terra-black-edition-d0tr55100b,elmotorista.es
TRT.00.787.16100/B,4052572197561,Sw-motech,Anillo Deposito Pro Triumph (6 Tornillos),30.0,36.0,,7,,https://estaticos.elmotorista.es/prod_images/sw-motech/505419548art/sw-motech/anillo-deposito-pro-triumph-6-tornillos-447029_200.webp,anillo-deposito-pro-triumph-6-tornillos-trt-00-787-16100-b,elmotorista.es
CM272946,,Piaggio,Baul 32l Vespa Bl B04,175.11,210.13,199.0,1,,https://estaticos.elmotorista.es/prod_images/piaggio/505438565art/piaggio/baul-32l-vespa-bl-b04-445649_200.webp,baul-32l-vespa-bl-b04-5054385651,elmotorista.es
H0DV10ST,8430358670266,Shad,Fijacion Top Master Africa Twin Crf 1100l Adventure Sport,51.41,61.69,57.12,5,,https://estaticos.elmotorista.es/prod_images/shad/504612220art/shad/fijacion-top-master-africa-twin-crf-1100l-adventure-sport-501933_200.webp,fijacion-top-master-africa-twin-crf-1100l-adventure-sport-h0dv10st,elmotorista.es
OBKEV37BL,8019606349248,Givi,Maleta Lateral Trekker Outback Evo 37 Smart Ng Izquierda,399.61,479.53,444.0,5,,https://estaticos.elmotorista.es/prod_images/givi/505602299art/givi/maleta-lateral-trekker-outback-evo-37-smart-ng-izquierda-478422_200.webp,maleta-lateral-trekker-outback-evo-37-smart-ng-izquierda-obkev37bl,elmotorista.es
K0XC42ST,8430358548107,Shad,Soporte Maleta Kymco Xciting   400   - Shad  K0xc42st,76.76,92.11,85.3,1,,https://estaticos.elmotorista.es/prod_images/shad/503686303art/shad/fijacion-top-master-kymco-xciting-400-13-17-412593_200.webp,fijacion-top-master-kymco-xciting-400-13-17-k0xc42st,elmotorista.es
Y0TR14ST,8430358583894,Shad,Fijacion Top Master Yamaha Tricity 125 14/16,35.6,42.72,39.54,2,,https://estaticos.elmotorista.es/prod_images/shad/503767024art/shad/fijacion-top-master-yamaha-tricity-125-14-16-499022_200.webp,fijacion-top-master-yamaha-tricity-125-14-16-y0tr14st1,elmotorista.es
D0B39100,8430358548763,Shad,Baulete Sh39 Ng,116.91,140.29,129.91,+10,,https://estaticos.elmotorista.es/prod_images/shad/503687462art/shad/baulete-sh39-ng-498831_200.webp,baul-sh39-ng-d0b391001,elmotorista.es
D0TR55100,8430358679894,Shad,Baul Tr 55 Terra ,405.0,486.0,450.0,8,,https://estaticos.elmotorista.es/prod_images/shad/505074464art/shad/baul-tr-55-terra-393371_200.webp,baul-tr-55-terra-d0tr55100,elmotorista.es
OBKEVS33BR,8019606349613,Givi,Maleta Lateral Trekker Outback Evo 33 Scantonata Ng Dcha ,399.61,479.53,444.0,1,,https://estaticos.elmotorista.es/prod_images/givi/505602304art/givi/maleta-lateral-trekker-outback-evo-33-scantonata-ng-dcha-478431_200.webp,maleta-lateral-trekker-outback-evo-33-scantonata-ng-dcha-obkevs33br,elmotorista.es
